targa,tratta,volte
90119,11-19-8-3-1-12-14-,1
6509201,9-26-,1
6583390,21-,1
6586768,14-,1
710081,10-15-,1
435611,21-21-,2
1350394,24-17-23-15-5-14-,1
6589315,20-,1
790556,3-,1
6584444,5-,1
6594638,23-,1
6582932,24-,1
1649652,11-20-,1
178501,9-26-10-15-5-8-3-13-,1
6591036,9-,1
716087,26-15-8-,1
2529665,27-21-,1
6597119,27-,1
265477,22-1-12-25-20-2-16-4-,1
1077783,21-27-,1
6592319,22-1-12-20-2-16-4-,1
6602582,24-,1
6590981,3-,1
6603837,15-,1
6598139,27-9-26-10-4-21-,1
446745,15-5-8-12-25-20-,1
3394133,9-15-14-,1
823012,6-24-,1
425095,21-,1
6600762,13-,1
749375,26-10-7-17-16-4-,1
585049,7-17-,1
6601277,10-,1
1757560,15-,1
6603197,5-,1
400208,20-,1
867753,26-10-,1
6594187,17-23-15-5-25-20-2-7-,1
6600130,22-1-12-25-20-2-16-4-,1
224961,24-,1
1913161,9-26-10-23-15-5-8-3-13-,1
273849,27-9-26-10-15-8-3-13-,1
54690,3-13-,1
1256649,17-7-,1
452918,24-,1
6587746,2-,1
65299,9-,1
6600455,23-,1
440412,14-19-,1
80403,19-8-3-13-22-1-12-14-,1
740415,9-26-10-23-15-5-8-3-13-,1
745143,21-,2
1542442,17-23-15-5-8-,1
6605512,26-,1
4552666,3-,1
52690,12-14-19-8-,1
355679,9-26-10-23-15-5-14-11-19-25-20-2-16-4-,1
6585063,10-,1
1009734,27-9-26-10-15-5-14-19-21-,1
1749639,15-,1
900135,26-10-15-5-20-16-21-27-,1
2649471,23-,1
2648800,21-,1
1002686,21-27-,1
834248,27-9-,1
6312314,21-,1
437056,16-4-21-27-9-26-10-,1
3152645,27-21-,1
6607580,10-,1
691657,12-8-3-13-,1
6588230,9-,1
698128,14-,1
219682,21-,1
328149,14-19-,1
50973,17-23-7-,1
434430,7-,1
309095,3-,1
6405130,9-26-10-23-15-5-8-12-20-2-16-4-,1
2959022,9-26-10-23-,1
6606664,21-,1
22395,17-4-21-,1
21668,20-2-16-4-,1
6595046,20-,1
612061,24-6-,1
6605635,12-,1
1342619,21-27-,1
1924071,7-,1
6597886,16-,1
6515259,9-26-10-23-15-5-14-19-25-20-2-16-4-,1
6611121,4-,1
3184326,6-24-,1
83038,19-8-3-13-22-1-12-14-,1
6575689,4-,1
345094,19-8-3-13-,1
67130,14-,1
88038,17-7-17-7-,1
505998,17-16-4-9-26-10-7-,1
50278,21-,2
5758789,15-5-14-11-,1
251040,19-,1
6593949,3-,1
2354863,3-,1
3014398,16-,1
39829,5-8-3-,1
1037881,13-,1
5744258,2-,1
2286280,9-26-10-23-15-5-8-3-,1
195016,7-17-,2
13556,24-,1
589684,12-20-7-,1
910351,24-24-,1
6587839,14-,1
434999,24-6-,1
66918,17-7-17-,1
4293975,17-23-15-5-,1
44987,22-1-12-14-19-8-3-13-,1
6597667,22-1-12-25-20-2-16-4-,1
6592767,17-16-4-26-10-7-,1
4013588,22-1-12-20-2-16-4-,1
1168902,10-,1
302314,24-,1
539049,26-10-23-15-5-8-3-13-12-25-20-2-16-4-,1
3018216,20-2-16-,1
4421827,23-15-5-8-3-1-12-20-2-16-,1
926459,24-6-,1
686663,16-21-,1
600243,21-,3
1311263,1-12-20-16-,1
5735562,20-2-,1
742326,21-,1
6609537,9-,1
481069,26-,1
907142,21-,1
6593740,9-26-10-23-15-5-8-3-13-1-12-20-16-4-21-,1
224477,19-8-3-1-12-14-,1
6609584,2-,1
3293019,14-,1
50536,5-8-,1
603180,21-27-21-27-,1
597642,22-1-12-25-20-2-16-4-,1
512472,21-,1
6531391,11-19-20-7-,1
477860,12-20-2-16-4-,1
6588790,14-,1
76507,7-17-,1
8088,27-,1
225757,19-,1
2790994,23-15-14-,1
840714,22-1-12-25-20-2-16-4-9-26-10-23-5-8-3-13-,1
1278879,9-,1
194620,19-25-20-2-16-4-21-27-9-26-10-23-15-5-14-,1
312315,27-,1
6600029,24-17-16-4-,1
452199,17-7-,1
102612,9-26-10-15-8-,1
874983,11-19-20-2-16-4-,1
1480717,27-9-26-10-7-,1
230408,17-16-4-9-26-10-7-,1
5647825,1-3-13-,1
41235,27-,1
484748,9-26-10-15-5-8-,1
6590167,9-,1
6594183,22-,1
348452,21-,1
1887335,19-14-,1
5745853,9-26-10-23-15-5-14-,1
6605881,10-,1
6014466,1-,1
337966,17-16-4-27-9-26-10-7-,1
6609178,26-,1
208903,17-,1
1410019,26-10-23-15-5-8-3-13-,1
6601436,9-,1
6585185,6-,1
1677532,21-,1
6034283,10-,1
231159,4-,1
458429,24-,1
826857,9-26-10-,1
69853,24-6-,1
6604412,13-,1
2280249,19-8-3-1-,1
5738628,12-20-2-4-,1
777617,9-10-23-13-,1
208506,21-,1
308400,8-3-13-,1
1376944,12-20-16-4-,1
2171135,17-,1
927648,12-14-19-8-,1
40653,21-,1
301824,22-1-12-16-,1
641428,9-10-15-5-,1
90976,17-16-4-,1
6587660,23-,1
2033351,4-,1
73614,8-3-13-1-12-,1
489319,12-20-2-16-4-,1
1661829,21-,1
1511627,9-,1
1763563,24-,1
2057124,9-10-23-15-,1
102173,25-20-2-16-4-27-9-26-15-8-16-4-21-27-9-26-10-23-15-5-8-,1
5385592,27-9-26-10-23-15-5-8-3-13-,1
6608205,2-,1
3625805,20-,1
6580962,19-,1
6515089,12-25-20-2-16-4-,1
221053,11-19-20-2-16-4-,1
5605908,3-2-,1
6585084,12-,1
1883049,19-,1
351206,9-26-10-23-15-5-8-3-13-,1
72798,21-,1
6584127,10-,1
4450115,11-14-,1
6599477,27-,1
6586650,10-,1
1520589,12-,1
6269575,12-,1
2914136,5-,1
1544123,24-,1
6049567,7-,1
1718191,24-,1
173465,17-7-,1
227729,27-9-10-7-,1
6589486,24-,1
2534894,23-,1
6592572,7-,1
51946,9-26-10-7-17-16-4-,1
82875,21-,1
5703554,11-19-14-,1
72965,6-,1
6590377,19-2-,1
5703247,27-21-,1
62327,24-6-,1
6599191,4-,1
484863,2-,1
229261,6-,1
6587291,1-,1
6606630,12-,1
6606976,22-,1
6595888,5-,1
1039833,10-,1
486446,20-2-4-,1
6608604,23-,1
6581010,9-,1
49546,7-,1
931278,19-25-20-2-16-4-9-26-10-23-15-5-14-,1
607792,24-,1
3723120,11-16-,1
325258,1-12-25-20-15-5-8-,1
858313,9-,1
523867,19-25-20-2-16-4-,1
1661255,24-,1
6596674,21-,1
981429,14-,1
51926,15-5-14-,1
594143,21-,1
6580558,7-,1
5677586,16-4-,1
6595147,1-,1
2514686,27-12-,1
3037501,27-9-26-10-16-4-21-,1
76915,20-2-16-4-,1
834750,17-7-,1
1019141,12-2-16-,1
328648,24-17-,1
2738282,14-19-8-,1
464963,12-,1
6611154,19-,1
272327,27-26-23-15-,1
6604495,9-26-10-23-15-5-8-,1
1284653,5-,1
6597812,22-1-12-25-20-2-16-4-21-,1
458038,5-,1
671233,21-,1
1316582,2-,1
1323126,15-5-14-11-19-25-20-,1
1854993,9-26-10-23-15-5-8-3-13-,1
235408,8-,1
3962440,16-4-,1
184638,21-,1
6603675,23-,1
2681300,4-,1
6607268,9-,1
6580698,9-,1
184,1-13-,1
1533043,10-,1
440679,24-6-,1
253118,22-1-12-20-2-16-4-21-,1
6592433,11-19-20-2-16-4-,1
6315889,8-,1
6585508,15-,1
50226,7-,2
6584007,26-,1
67399,7-17-,1
6603071,5-,1
187139,16-4-9-26-10-,1
1730324,15-,1
71524,4-21-9-,1
454809,2-16-4-21-,1
2927898,21-,1
6588418,10-,1
337628,6-,1
2748888,5-,1
579822,22-1-12-14-19-8-3-13-,1
5664270,4-,1
601788,8-,1
443109,1-12-14-19-8-12-14-19-8-3-,1
504607,17-7-,1
6587221,1-12-20-21-,1
6586135,8-,1
6494766,11-16-,1
453043,27-,1
215950,22-13-,1
1177822,27-9-26-10-15-8-3-13-1-12-,1
67401,27-9-,1
1094919,9-26-10-23-15-5-8-3-13-,1
5893569,3-,1
6604111,23-,1
455496,24-17-23-15-5-14-19-20-2-16-4-,1
6594533,4-,1
2535321,20-,1
68584,11-19-25-20-2-16-4-,1
174463,20-2-,1
6519787,21-,1
1089032,13-22-,1
76753,3-13-22-1-,1
6584113,27-,1
123663,26-8-3-13-,1
336950,24-6-,1
29367,17-,1
1890894,17-16-4-9-26-10-7-,1
6600121,12-25-20-2-16-4-,1
6605543,8-,1
171082,19-20-2-16-4-,1
654879,16-,1
6610418,11-20-4-,1
1665953,21-21-,1
88421,21-21-,1
3768491,4-,1
451020,5-14-19-20-,1
847304,6-24-,1
6588804,15-,1
79136,27-9-26-,1
752438,19-14-,1
4966301,1-,1
2746236,20-16-,1
5738924,8-3-8-3-,1
72806,24-6-,1
66567,27-9-26-10-23-15-,1
6593610,23-,1
5605360,7-,1
1246036,24-,1
2658876,6-,1
6582509,20-,1
6589575,23-,1
6596756,5-,1
5111974,16-4-21-,1
213927,21-,1
1735454,2-,1
2569056,7-17-,1
223720,6-24-,1
501788,1-12-20-20-16-4-4-,1
6582442,23-,1
3206386,20-2-16-4-21-27-9-26-10-23-15-14-,1
45736,27-9-26-10-7-17-,1
5610033,24-,1
1008816,24-6-,1
6583768,17-16-,1
6521377,16-4-,1
82630,21-21-,1
935245,9-26-10-23-15-5-14-,1
79960,19-25-20-2-7-17-23-15-5-14-,1
6607967,1-,1
223260,1-12-25-20-2-7-,1
6597752,15-,1
5623405,13-,1
459325,21-,1
6589380,15-,1
1544915,21-,1
6596287,20-,1
4618684,22-,1
6608852,16-,1
1250839,21-27-,1
6596492,24-,1
6161628,27-9-26-10-23-15-5-14-19-25-20-2-16-4-,1
3129242,13-,1
703850,20-,1
3358537,21-,1
6588413,9-,1
260155,2-,1
6586148,9-,1
2164649,24-,1
3234806,27-,1
4433824,6-24-,1
63217,26-10-7-17-16-4-,1
1674630,21-,1
278682,8-,1
344869,17-,1
2418576,10-,1
5958267,9-26-10-23-15-5-14-,1
193529,22-1-12-14-,1
1250867,12-25-20-2-16-4-,1
201169,7-,2
680684,19-20-15-5-14-,1
6594349,5-,1
599087,7-,1
1067050,9-26-10-23-15-5-,1
216356,6-24-,1
1182141,17-16-,1
1751170,9-,1
204557,19-8-3-22-1-12-14-,1
660254,16-4-26-10-15-5-8-3-13-,1
6601145,8-,1
1009621,9-10-15-5-,1
2286468,7-17-16-4-21-9-26-10-,1
598534,17-23-15-,1
2355239,11-8-3-13-,1
532180,21-21-,1
669681,27-23-5-8-,1
32220,9-26-10-,1
3265361,7-17-,1
744013,5-8-3-1-12-,1
6609133,12-,1
3031397,9-26-10-15-5-14-6-,1
212208,12-14-11-19-8-,1
345824,27-9-26-10-7-4-,1
6590147,26-,1
220448,8-,1
6602860,19-,1
6607706,9-,1
6597002,9-,1
6584154,27-,1
1345096,27-9-26-10-23-15-5-8-3-13-22-1-12-25-20-2-16-4-21-,1
246354,1-12-20-2-16-4-,1
2513775,6-,1
6517560,12-2-16-,1
6593975,11-,1
95755,9-26-10-4-,1
71388,19-8-3-13-1-12-14-,1
430975,7-17-,1
2241137,21-27-,1
5653153,21-,1
294697,1-20-,1
1021836,19-8-3-1-12-14-,1
6595272,19-,1
82060,7-16-4-,1
3419401,9-26-10-23-5-,1
5764101,10-,1
2686821,22-,1
752880,21-,1
1155876,14-,1
6597153,9-,1
5652329,21-,1
615409,14-,1
2907428,22-1-12-,1
212227,13-,1
70755,7-17-,3
5913186,12-,1
2412563,3-13-,1
81913,23-12-25-20-2-16-4-,1
72070,22-,1
46524,8-3-13-1-,1
355539,23-15-5-8-3-13-22-1-12-25-20-2-,1
452019,9-,1
29846,21-,1
6582904,22-,1
6610455,12-8-,1
887319,10-,1
560785,14-,1
270522,9-26-10-15-5-8-3-13-,1
145532,9-7-24-,1
6602134,11-,1
595040,22-13-,1
55691,10-,1
53383,21-,1
332745,11-19-20-15-5-14-,1
6591689,21-,1
6600214,26-10-23-15-5-8-3-13-22-1-12-20-2-16-4-21-,1
6593058,8-3-,1
6600164,9-,1
64531,19-14-,1
6581499,21-,1
1771719,7-,1
679595,12-,1
5746238,7-,1
4134843,2-,1
1207066,22-23-,1
520123,22-1-12-14-19-8-3-13-22-1-12-14-19-8-3-13-,1
6608993,22-,1
6609266,13-,1
155347,25-20-4-23-8-,1
5614639,27-,1
459537,19-25-20-2-16-4-9-26-10-7-,1
6592874,2-16-4-,1
6590954,16-,1
5165940,22-1-12-25-20-2-16-4-21-,1
542041,21-27-,1
624513,12-20-2-16-4-26-10-23-15-5-8-,1
6588755,22-,1
641849,26-10-,1
6595039,19-,1
3844058,23-,1
6602022,14-,1
400254,12-14-6-17-23-15-5-8-3-13-,1
3814272,22-,1
457321,21-21-,1
757473,12-25-20-2-16-4-21-27-9-26-10-23-15-5-8-,1
5611099,20-,1
5043193,9-26-10-,1
5603914,21-,1
6597819,9-26-10-23-15-5-14-19-20-2-16-4-,1
250161,19-,1
390749,26-10-15-5-8-3-13-,1
6593348,12-,1
66152,19-8-3-13-1-12-14-,1
6517022,27-9-26-10-23-2-16-4-21-,1
6587718,19-,1
1359045,16-,1
951725,22-16-4-,1
223876,22-1-12-25-20-2-16-4-,1
208436,17-7-,1
1418753,3-13-22-,1
665752,5-8-3-13-,1
2219164,22-,1
6044181,21-,1
38915,7-17-,2
453312,6-,1
18311,26-10-15-,1
3309752,21-,1
6606744,14-,1
422487,7-,1
5613910,27-9-26-10-23-15-5-8-12-20-2-,1
6607416,10-,1
67414,27-9-,1
6588515,7-,1
642837,20-,1
1664084,21-,1
1488134,5-14-,1
3405484,17-16-4-21-27-9-26-10-7-,1
1342468,14-19-,1
6605187,23-,1
27776,27-9-,1
94761,26-10-23-15-5-8-12-16-,1
6610622,11-16-,1
6596488,25-,1
662964,21-27-,1
1667664,19-8-3-13-22-,1
1190348,19-14-,1
6290435,13-,1
845888,22-1-12-20-7-17-,1
6595779,19-25-20-2-16-4-,1
54139,19-,1
228817,21-27-,1
6589857,15-,1
6595441,21-,1
2287297,3-13-1-12-,1
1018584,24-,1
3184509,19-25-20-15-5-,1
6012508,21-,1
564317,17-,1
6594213,13-,1
6606810,6-,1
3259699,26-,1
53193,21-,1
2257037,11-19-8-3-13-1-12-20-2-16-4-,1
1770995,16-,1
251014,7-17-,1
806576,2-,1
5496496,17-23-15-5-8-12-25-20-2-7-,1
5749143,21-21-,1
6110236,9-,1
456258,6-,1
582258,9-10-15-5-,1
6603431,1-,1
20913,26-10-23-15-11-19-20-2-7-6-,1
3356424,20-7-,1
2209635,21-27-,1
2165466,13-22-,1
2922868,5-8-12-25-,1
29259,27-9-,1
372134,23-,1
668136,2-16-4-,2
611924,21-,2
4168362,24-6-,1
6601790,8-,1
611326,9-26-10-23-15-5-8-3-13-,1
73040,22-1-12-8-3-13-,1
2990579,6-,1
2390201,27-9-26-10-7-,1
42299,7-,1
44357,21-21-,1
142616,1-,1
249774,20-,1
2700123,9-26-10-,1
29770,19-8-3-13-22-1-12-14-,1
688604,12-20-2-16-4-,1
6584476,4-,1
6590141,14-,1
2341613,15-5-14-,1
6590678,9-,1
196830,21-,1
294561,20-2-16-4-21-,1
605480,21-,1
5820263,27-9-26-10-23-15-5-14-11-19-25-20-16-4-21-,1
6126861,21-,1
221108,6-,1
182530,7-,1
6603384,10-,1
6593191,17-,1
3680023,21-,1
6585187,27-26-23-,1
1116260,2-,1
6591074,23-,1
6609535,24-,1
700938,9-,1
624215,27-9-26-10-23-15-5-8-3-13-,1
28407,3-22-1-12-14-19-8-3-13-,1
6525161,9-26-,1
172430,22-1-,1
6589155,5-,1
48989,9-26-10-7-17-16-,1
223593,6-,1
